Key,german

campfireActivate,"Öffne Lagerfeuer"
caffeineBuzz,"Koffein-Rausch"
caffeineBuzzDesc,"Koffein gibt dir Energie, hält deine Ausdauer höher und deine wärmt dich temporär."
inpActActionLockStack,"Stapel sperren"
inpActInventorySlot9Name,"Slot 9"
inpActInventorySlot10Name,"Slot 10"
inpActInventorySlot11Name,"Slot 11"
inpActInventorySlot12Name,"Slot 12"
inpActVehicleToggleTopLightName,"Rundumleuchte (de-)aktivieren"
inpActVehicleToggleSirenName,"Sirene (de-)aktivieren"
inpActLockSelectedSlotName,"Inventarslot sperren"
inpActGuiKeyboardSpaceName,"Aktions-Schnelltaste 5"
inpActDebugScreenshotName,"Debug-Bildschirmfoto"
inpActDebugGameEventName,"Debug-Ereignisse"
infectionDesc,"Du bist infiziert. Benutze Antibiotika, Honig oder pflanzliche Antibiotika um die Infektion zu heilen. Bleibt es unbehandelt, wirst du immer schwächer und stirbst langsam."
lblContextActionCraft,"Herstellen"
lblContextActionDrink,"Trinken"
lblContextActionDrop,"Ablegen"
lblContextActionEat,"Einnehmen"
lblContextActionForge,"Schmieden"
lblContextActionPin,"Pin"
lblContextActionRead,"Untersuchen"
lblContextActionResearch,"Erforschen"
lblContextActionScrap,"Zerlegen"
lblContextActionWear,"Tragen"
lblLevel,"Level: {0}"
lblAcceptQuest,"Auftrag annehmen"
lblCancelQuest,"Auftrag abbrechen"
lblRemoveQuest,"Auftrag entfernen"
lblShareQuest,"Auftrag teilen"
megaCrushBuffName,"Energiedrink"
megaCrushBuffDesc,"Steigere deine Reflexe und Ausdauer mit einem zusätzlichen Energieschub!"
rangedWeaponStatsTip_title,"Fernkampfwaffen-Statistiken"
statCargo,"Lager"
statCarryCapacity,"Tragekapazität"
statCritDamageResist,"Kritische Treffer-Widerstand"
statDamageAnimals,"Schaden an Tieren"
statDamageDirt,"Schaden an Erde"
statDamageIron,"Schaden an Eisen"
statDamageMetal,"Schaden an allen Metallen"
statDamageStone,"Schaden an Stein"
statDamageUndead,"Schaden an Untoten"
statDamageWood,"Schaden an Holz"
statDegradationPerUse,"Abnutzung bei Verwendung"
statResistBleed,"Bluten-Widerstand"
statResistCrit,"Widerstand gegen Infektion, Erschöpfung, Verstauchung, Betäubung"
statResistInfection,"Widerstand gegen Infektion"
statHealthChangeOT,"Heilung/Sek"
statHealthMaxModifierOT,"Heilung"
statHyperthermalResist,"Widerstand gegen Hitze"
statHypothermalResist,"Widerstand gegen Kälte"
statNoiseIncrease,"Lärm"
statPhysicalDamageResist,"Rüstung"
statPhysicalDamageResistLight,"Leichte Rüstung"
statPhysicalDamageResistHeavy,"Schwere Rüstung"
statPlayerExpGain,"Exp Gewinn"
statStaminaChangeOT,"Ausdauer/Sek"
statStaminaDrainOT,"Ausdauer"
statVehicleCargoCapacity,"Lagerkapazität"
